X,Y,codigo_oaci,nome,municipio,icon_url
-57.7758333333333,-6.23527777777778,SBEK,JACAREACANGA,JACAREACANGA,./0.png
-54.485,-25.6002777777778,SBFI,CATARATAS,FOZ DO IGUAÇU,./0.png
-48.5525,-27.6702777777778,SBFL,HERCÍLIO LUZ,FLORIANÓPOLIS,./0.png
-32.4283333333333,-3.85472222222222,SBFN,FERNANDO DE NORONHA,FERNANDO DE NORONHA,./0.png
-38.5322222222222,-3.77583333333333,SBFZ,PINTO MARTINS,FORTALEZA,./0.png
-43.2505555555556,-22.81,SBGL,AEROPORTO INTERNACIONAL DO RIO DE JANEIRO/GALEÃO – ANTONIO CARLOS JOBIM,RIO DE JANEIRO,./0.png
-65.2816666666667,-10.7883333333333,SBGM,GUAJARÁ-MIRIM,GUAJARÁ-MIRIM,./0.png
-49.2211111111111,-16.6325,SBGO,SANTA GENOVEVA/GOIÂNIA,GOIÂNIA,./0.png
-46.4730555555556,-23.4355555555556,SBGR,GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO,GUARULHOS,./0.png
-51.5236111111111,-25.3883333333333,SSGG,TANCREDO THOMAS DE FARIA,GUARAPUAVA,./0.png
-41.9861111111111,-18.8969444444444,SBGV,CORONEL ALTINO MACHADO,GOVERNADOR VALADARES,./0.png
-45.2044444444444,-22.7916666666667,SBGW,GUARATINGUETÁ,GUARATINGUETÁ,./0.png
-52.2522222222222,-3.25083333333333,SBHT,ALTAMIRA,ALTAMIRA,./0.png
-58.4816666666667,-3.12638888888889,SBIC,ITACOATIARA,ITACOATIARA,./0.png
-56.0008333333333,-4.24222222222222,SBIH,ITAITUBA,ITAITUBA,./0.png
-39.0333333333333,-14.815,SBIL,BAHIA - JORGE AMADO,ILHÉUS,./0.png
